Community_Code,Shannon_Index,Avg_DBH
PUM,3.097205,29.74616457
QLD,2.785209,24.12040657
QPK,2.740183,28.85249208
RAM,3.313712,21.15361446
RAN,2.883991,26.04313887
RCK,3.247638,25.35989717
RDL,3.087414,28.91650099
RED,2.461733,13.36051502
REN,3.233108,28.12565839
RIC,3.23204,25.19124751
RID,3.274123,31.33902439
RIV,3.270298,18.99829518
RMT,2.822289,32.24489796
ROC,2.725691,17.40522541
ROX,2.875268,38.05747126
ROY,2.815865,11.87592527
RRC,2.101578,5.050691244
RSN,2.854482,7.653846154
RUN,2.815336,22.52086137
RUT,3.017237,31.12704174
RVW,2.090584,6.515463918
RYV,1.578619,6.6
S23,0.6365142,15.2
SAD,3.4295,6.94661394
SAN,2.851969,22.94674923
SAW,2.308342,20.34055728
SCA,3.384197,22.83206831
SCE,3.008412,22.74780702
SDC,2.868897,20.35641605
SET,3.174598,6.990836653
SFH,1.281736,29.01098901
SGH,2.882646,9.349814586
SGL,1.763256,6.647482014
SHG,2.622696,29.27345657
SHI,2.344134,13.58783784
SHN,3.032116,20.03087479
SHS,2.957607,14.47360248
SHW,3.046235,11.03682488
SIG,3.129195,17.47404394
SIL,3.055907,27.05545487
SKE,1.546599,23.36363636
SKR,3.231417,6.456402591
SKW,2.489899,20.79120879
SNA,2.627077,25.48778502
SOC,3.364266,25.60058881
SOM,2.873101,18.0213854
SOV,3.019017,28.92008059
SOW,3.169177,27.00565262
SPH,2.953251,13.55592105
SPR,3.169054,26.00720906
SRI,1.097788,5.914285714
SSD,3.013595,21.23065095
SSW,3.046166,19.435
ST1,0.4659522,8.931034483
ST2,1.018862,12.6754386
STA,2.938598,29.53692762
STD,1.799887,14.87272727
STR,3.130388,19.63760807
SUN,2.048994,15.25961538
SVO,3.015598,9.693909422
TAR,3.351779,11.07424416
TEM,2.747383,20.08110478
THO,3.122812,29.09788136
TUS,3.2126,13.83755344
TUX,3.022109,29.67320819
UMR,3.219541,35.43341902
UND,2.539991,8.814471243
UNI,2.803652,28.30116959
UOC,1.997443,35.85267857
VAF,1.833786,21.64285714
VAL,3.016284,16.21243292
VAR,2.941571,26.8794604
VIS,2.815642,18.15611814
WAL,3.160656,8.68197656
WBN,2.720968,23.67609562
WES,3.087484,18.06635389
WGT,3.131618,29.49541284
WHI,2.843898,23.14599237
WHL,3.307287,25.59678913
WIL,2.93012,33.20837867
WIN,3.266969,27.40355497
WLD,3.158218,29.38283972
WND,3.288007,27.88904494
WOO,3.012374,27.30773018
WSP,2.809415,11.33791749
WWO,2.237986,5.633484163
YKV,2.573787,6.142259414
